,tweet_id,handle,retweet_count,text,mined_at,created_at
53,1083004911380393985,JeffBezos,6098,https://t.co/Gb10BDb0x0,2021-08-03 16:36:42.400558,Wed Jan 09 14:17:46 +0000 2019
54,1080261240423964672,JeffBezos,675,I have outstanding news to ring in 2019. Former Alexa VP &amp; long-time Amazonian Mike George has agreed to lead the D… https://t.co/pePgyk8DDM,2021-08-03 16:36:42.400558,Wed Jan 02 00:35:24 +0000 2019
55,1064882081249951744,JeffBezos,1074,Excited to announce the first annual grants from the Bezos Day 1 Families Fund. $97.5 million to 24 organizations d… https://t.co/4PGfmoYfpQ,2021-08-03 16:36:42.400558,Tue Nov 20 14:04:07 +0000 2018
56,1062120332251684864,JeffBezos,1211,"Had the privilege today of unveiling our newest Amazon Air 767 - ""Valor"" - named in honor of the thousands of Amazo… https://t.co/2cBMYGm5Au",2021-08-03 16:36:42.400558,Mon Nov 12 23:09:55 +0000 2018
57,1058012110947373057,JeffBezos,2197,"Yep, that’s me. I was lucky to be exposed to tech and coding at a young age. Inspired a lifelong love of invention.… https://t.co/JnR86cB0B6",2021-08-03 16:36:42.400558,Thu Nov 01 15:05:18 +0000 2018
58,1054739581533188096,JeffBezos,425,Amazon just won The American Foundation for the Blind’s Helen Keller award! Huge kudos to the whole team on working… https://t.co/yjmiCRuLAM,2021-08-03 16:36:42.400558,Tue Oct 23 14:21:27 +0000 2018
59,1051983010722013184,JeffBezos,1553,Very sad to hear of Paul Allen’s passing. His passion for invention and pushing forward inspired so many. He was re… https://t.co/2WrsMNzyrt,2021-08-03 16:36:42.400558,Mon Oct 15 23:47:49 +0000 2018
60,1050136574090825728,JeffBezos,693,Thank you to the @usairforce for your confidence in the @BlueOrigin team and our #NewGlenn rocket. We are proud to… https://t.co/adT4X9LZwL,2021-08-03 16:36:42.400558,Wed Oct 10 21:30:44 +0000 2018
61,1047152109508997121,JeffBezos,3440,"Thank you @SenSanders. We’re excited about this, and also hope others will join in. https://t.co/kasWkkOhWo",2021-08-03 16:36:42.400558,Tue Oct 02 15:51:32 +0000 2018
62,1045423889856192512,JeffBezos,471,Big win for @BlueOrigin today! And a big thank you to @ulalaunch for choosing our BE-4 engine. Excited to be a part… https://t.co/MF5sjDzSXc,2021-08-03 16:36:42.400558,Thu Sep 27 21:24:13 +0000 2018
63,1042108453295013888,JeffBezos,231,"Incredible work from the whole @MaiselTV team for 8 #Emmys wins, including Outstanding Comedy Series. Woohoo! https://t.co/mfAwDkVX6s",2021-08-03 16:36:42.400558,Tue Sep 18 17:49:51 +0000 2018
64,1040253796293795842,JeffBezos,6337,https://t.co/2GlgjztK1u,2021-08-03 16:36:42.400558,Thu Sep 13 15:00:06 +0000 2018
65,1019742477018730496,JeffBezos,385,Super proud of the entire Blue Team who came together and made it happen #nevergetsold #gradatimferociter https://t.co/f6e2pdnwGn,2021-08-03 16:36:42.400558,Thu Jul 19 00:35:27 +0000 2018
66,1019737114093629441,JeffBezos,234,"Appreciate the support, Mr. Vice President. I’m thrilled to report from West Texas that the team nailed it today… https://t.co/lXoGcokJ74",2021-08-03 16:36:42.400558,Thu Jul 19 00:14:08 +0000 2018
67,1019641106533937152,JeffBezos,523,Crew Capsule looks great even after it was pushed hard by the escape test. Astronauts would have had an exhilaratin… https://t.co/XxBJRk4g62,2021-08-03 16:36:42.400558,Wed Jul 18 17:52:38 +0000 2018
68,1013467826999267328,JeffBezos,351,Wishing @SpecialOlympics tennis competitor (and Amazonian!) Leonard Flowers luck in the @2018USAGames this week! Gr… https://t.co/NIvKyhkVHy,2021-08-03 16:36:42.400558,Sun Jul 01 17:02:13 +0000 2018
69,1008348645605797890,JeffBezos,2855,"My dad came here from Cuba all by himself without speaking English when he was 16 years old, and has been kicking a… https://t.co/pbBejaKhPQ",2021-08-03 16:36:42.400558,Sun Jun 17 14:00:25 +0000 2018
70,1007077455146860544,JeffBezos,1328,https://t.co/phDTXHElBp,2021-08-03 16:36:42.400558,Thu Jun 14 01:49:10 +0000 2018
71,1001187602622439427,JeffBezos,576,I’m enjoying this day with my kids but also remembering. Remembering the many sons and daughters who have given up… https://t.co/O0Bbr5yrIB,2021-08-03 16:36:42.400558,Mon May 28 19:45:00 +0000 2018
72,996609529323245568,JeffBezos,351,Tom Wolfe was an amazing journalist and author. Thank you for showing us all what it took to have “The Right Stuff”. https://t.co/ObMeU4S92S,2021-08-03 16:36:42.400558,Wed May 16 04:33:22 +0000 2018
73,995680729106341888,JeffBezos,522,"You shaped us, you protected us, you let us fall, you picked us up, and you LOVED us, always and unconditionally. T… https://t.co/EAJekB5W7R",2021-08-03 16:36:42.400558,Sun May 13 15:02:39 +0000 2018
74,992765968182001665,JeffBezos,13707,"Love this quote. It’s been on my fridge for years, and I see it every time I open the door. #Emerson https://t.co/kN8HjM4bOI",2021-08-03 16:36:42.400558,Sat May 05 14:00:26 +0000 2018
75,991799694664679425,JeffBezos,1153,😀 @ConanOBrien @BlueOrigin https://t.co/x3BiCpaLQA,2021-08-03 16:36:42.400558,Wed May 02 22:00:48 +0000 2018
76,990755397542723584,JeffBezos,1902,Highlights from today’s mission. Don’t miss the Nerf ball doing a few backflips in zero gravity. #GradatimFerociter… https://t.co/2k65etKuHb,2021-08-03 16:36:42.400558,Mon Apr 30 00:51:08 +0000 2018
77,990692677963284480,JeffBezos,448,The lucky boots worked again. Huge kudos and thanks to the entire @BlueOrigin team. #GradatimFerociter https://t.co/P9cUqRNbYv,2021-08-03 16:36:42.400558,Sun Apr 29 20:41:55 +0000 2018
78,990663519900184577,JeffBezos,418,"Apogee of 351,000 feet (66 miles, 107 kilometers), and that’s the altitude we’ve been targeting for operations. One… https://t.co/rzXSTjh6Of",2021-08-03 16:36:42.400558,Sun Apr 29 18:46:03 +0000 2018
